"ahhh","DQsound","misc/momuri/ahhh08.mp3"
"ainotameni","","misc/momuri/ainotameni.mp3"
"boke","","misc/momuri/boke.mp3"
"boom","","misc/momuri/boom.mp3"
"bossyu","","misc/momuri/bossyu.mp3"
"danke","","misc/momuri/danke.mp3"
"mommy","","misc/momuri/dude_ohmommy_en.mp3"
"erozaru","","misc/momuri/erozaru.mp3"
"freedom","","misc/momuri/freedom.mp3"
"furiabu","","misc/momuri/furiabu.mp3"
"gibson","","misc/momuri/gibson.mp3"
"gogohan","","misc/momuri/gogohan.mp3"
"huhaha","","misc/momuri/huhaha.mp3"
"lipod","","misc/momuri/lipod.mp3"
"magure","","misc/momuri/magure.mp3"
"mahjong","","misc/momuri/mahjong.mp3"
"hosoku","","misc/momuri/mhosoku.mp3"
"teikou","","misc/momuri/teikou.mp3"
"nande","","misc/momuri/nande.mp3"
"nanteyatu","","misc/momuri/nanteyatsu.mp3"
"omigoto","","misc/momuri/omigoto.mp3"
"ohno","","misc/momuri/ohno.mp3"
"saba","","misc/momuri/saba-.mp3"
"sniper","","misc/momuri/sniper.mp3"
"sousano","","misc/momuri/sousano.mp3"
"yabage","","misc/momuri/yabage.mp3"
"yakutatazu","","misc/momuri/yakutatazu.mp3"
"ded","New sounds","misc/momuri/ded08.mp3"
"gj","","vo/pauling/Plng_contract_complete_allclass_05.mp3"
"gw","","vo/pauling/Plng_contract_complete_allclass_04.mp3"
"hi","","vo/items/wheatley_sapper/wheatley_sapper_pulledout01.mp3","vo/items/wheatley_sapper/wheatley_sapper_pulledout02.mp3","vo/items/wheatley_sapper/wheatley_sapper_pulledout04.mp3","vo/items/wheatley_sapper/wheatley_sapper_pulledout06.mp3","vo/items/wheatley_sapper/wheatley_sapper_pulledout08.mp3","vo/items/wheatley_sapper/wheatley_sapper_pulledout16.mp3","vo/items/wheatley_sapper/wheatley_sapper_pulledout59.mp3"
"med","","misc/momuri/medic.mp3"
"med2","","misc/momuri/medic2.mp3"
"med3","","misc/momuri/medic3.mp3"
"no","","misc/momuri/no.mp3"
"nw","","vo/pauling/Plng_contract_complete_allclass_02.mp3"
"okay","","vo/sniper_yes02.mp3"
"raus","","misc/momuri/raus.mp3"
"sry","","misc/momuri/sry.mp3"
"thx","","misc/momuri/thx.mp3"
"thx2","","misc/momuri/thx2.mp3"
"wat","","vo/scout_invinciblenotready05.mp3"
"yes","","misc/momuri/yes.mp3"
"yeey","","misc/momuri/yeey.mp3"
"bad","v2","misc/momuri/bad.mp3"
"camera","","misc/momuri/camera.mp3"
"cheese","","misc/momuri/cheese.mp3"
"dejavu","","misc/momuri/dejavu.mp3"
"go3","","misc/momuri/go3.mp3"
"help","","misc/momuri/help.mp3"
"help2","","misc/momuri/help2.mp3"
"help3","","misc/momuri/help3.mp3"
"np","","vo/scout_autocappedcontrolpoint04.mp3"
"ohno2","","misc/momuri/ohno2.mp3"
"omg","","misc/momuri/omg.mp3"
"omg2","","misc/momuri/omfg.mp3"
"ed","cssradio","misc/momuri/ed.mp3"
"es","","misc/momuri/es.mp3"
"fih","","misc/momuri/fih.mp3"
"fm","","misc/momuri/fm.mp3"
"go","","misc/momuri/go.mp3"
"go2","","misc/momuri/go2.mp3"
"nb","","misc/momuri/nb.mp3"
"rgr","","misc/momuri/rgr.mp3"
"takept","","misc/momuri/takept.mp3"
"cruber","okada","misc/momuri/cruber.mp3"
"dai1","","misc/momuri/dai1.mp3"
"daini","","misc/momuri/daini.mp3"
"daini2","","misc/momuri/daini2.mp3"
"go4","","misc/momuri/go4.mp3"
"hidari","","misc/momuri/hidarikara.mp3"
"iine","","misc/momuri/iine.mp3"
"iine2","","misc/momuri/iine2.mp3"
"ike","","misc/momuri/ike.mp3"
"ikuzo","","misc/momuri/ikuzo.mp3"
"inc","","misc/momuri/inc.mp3"
"joukyo","","misc/momuri/joukyo.mp3"
"kodomo","","misc/momuri/kodomo.mp3"
"lol","","misc/momuri/lol.mp3"
"lol2","","misc/momuri/lol2.mp3"
"medgo","","misc/momuri/medgo.mp3"
"osemasu","","misc/momuri/osemasu.mp3"
"purin","","misc/momuri/purin.mp3"
"pyro","","misc/momuri/pyro.mp3"
"rgr2","","misc/momuri/rgr2.mp3"
"rule","","misc/momuri/rule.mp3"
"sinanaide","","misc/momuri/sinanaide.mp3"
"sindara","","misc/momuri/sindara.mp3"
"sou2","","misc/momuri/sou2.mp3"
"spy","","misc/momuri/spy.mp3"
"sry2","","misc/momuri/sry2.mp3"
"thx3","","misc/momuri/thx3.mp3"
"wakatta","","misc/momuri/wakattaka.mp3"
"wakatte","","misc/momuri/wakatte.mp3"
"yoro","","misc/momuri/yoro.mp3"
"yoro2","","misc/momuri/yoro2.mp3"
"a-!","gachimuchi thank you seboom!","misc/momuri/a-!.mp3"
"anta","","misc/momuri/anta.mp3"
"app","","misc/momuri/app.mp3"
"burei","","misc/momuri/burei.mp3"
"chance","","misc/momuri/chance.mp3"
"cmon","","misc/momuri/cmon.mp3"
"cmon2","","misc/momuri/cmon2.mp3"
"doumo","","misc/momuri/doumo.mp3"
"dousiyo","","misc/momuri/dousiyo.mp3"
"huguri","","misc/momuri/huguri.mp3"
"ikiro","","misc/momuri/ikiro.mp3"
"iza","","misc/momuri/iza.mp3"
"kani","","misc/momuri/kani.mp3"
"kani2","","misc/momuri/kani2.mp3"
"kora","","misc/momuri/kora.mp3"
"matigae","","misc/momuri/matigae.mp3"
"nanigeni","","misc/momuri/nanigeni.mp3"
"nice","","misc/momuri/nice.mp3"
"odoroki","","misc/momuri/odoroki.mp3"
"saikyou","","misc/momuri/saikyou.mp3"
"snpr","","misc/momuri/snpr.mp3"
"tuyoku","","misc/momuri/tuyoku.mp3"
"uaa","","misc/momuri/uaa.mp3"
"udon","","misc/momuri/udon.mp3"
"uetuke","","misc/momuri/uetuke.mp3"
"uoo","","misc/momuri/uoo.mp3"
"vgood","","misc/momuri/vgood.mp3"
"warosu","","misc/momuri/warosu.mp3"
"yugami","","misc/momuri/yugami.mp3"
"donmai","okada_ver2","misc/momuri/donmai.mp3"
"dousuru","","misc/momuri/dousuru.mp3"
"fighter","","misc/momuri/fighter.mp3"
"fighter2","","misc/momuri/fighter2.mp3"
"fighter3","","misc/momuri/fighter3.mp3"
"gkbr","","misc/momuri/gkbr.mp3"
"go5","","misc/momuri/go5.mp3"
"gosaku","","misc/momuri/gosaku.mp3"
"hahaha","","misc/momuri/hahaha.mp3"
"hajimete","","misc/momuri/hajimete.mp3"
"hehehe","","misc/momuri/hehehe.mp3"
"iine3","","misc/momuri/iine3.mp3"
"iiwa","","misc/momuri/iiwa.mp3"
"ike2","","misc/momuri/ike2.mp3"
"ilove","","misc/momuri/ilove.mp3"
"ilove2","","misc/momuri/ilove2.mp3"
"kaketeya","","misc/momuri/kaketeya.mp3"
"kireina","","misc/momuri/kireina.mp3"
"kowasiteru","","misc/momuri/kowasiteru.mp3"
"lol3","","misc/momuri/lol3.mp3"
"medgo2","","misc/momuri/medgo2.mp3"
"med5","","misc/momuri/medic5.mp3"
"moriaga","","misc/momuri/moriaga.mp3"
"mvp","","misc/momuri/mvp.mp3"
"mvp2","","misc/momuri/mvp2.mp3"
"nagaku","","misc/momuri/nagaku.mp3"
"iiwa2","","misc/momuri/nakanaka.mp3"
"nice2","","misc/momuri/nice2.mp3"
"sg","","misc/momuri/sg.mp3"
"sg2","","misc/momuri/sg2.mp3"
"sg3","","misc/momuri/sg3.mp3"
"sinanai","","misc/momuri/sinanai.mp3"
"sinanai2","","misc/momuri/sinanai2.mp3"
"taihen","","misc/momuri/taihen.mp3"
"tension","","misc/momuri/tension.mp3"
"ugoki","","misc/momuri/ugoki.mp3"
"wahaha","","misc/momuri/wahaha.mp3"
"wakaruka","","misc/momuri/wakaruka.mp3"
"yaba","","misc/momuri/yaba.mp3"
"zamen","","misc/momuri/zamen.mp3"
"babies","chozo","misc/momuri/babies.mp3"
"saw","","misc/momuri/bonesaw.mp3"
"disp","","misc/momuri/disp.mp3"
"dyin","","misc/momuri/dyin.mp3"
"fkngun","","misc/momuri/fkngun.mp3"
"fucktm","","misc/momuri/fkthem.mp3"
"fuck","","misc/momuri/fuck.mp3"
"fuck2","","misc/momuri/fuck2.mp3"
"gjm","","misc/momuri/gjm.mp3"
"letsgo4","","misc/momuri/letsgo4.mp3"
"hungry","","misc/momuri/hungry.mp3"
"igot","","misc/momuri/igot.mp3"
"letsgo","","misc/momuri/letsgo.mp3"
"letsgo2","","misc/momuri/letsgo2.mp3"
"letsgo3","","misc/momuri/letsgo3.mp3"
"med4","","misc/momuri/medic4.mp3"
"pyro2","","misc/momuri/pyro2.mp3"
"sand","","misc/momuri/sandwich.mp3"
"sand2","","misc/momuri/sandwich2.mp3"
"ubr","","misc/momuri/ubr.mp3"
"ubr2","","misc/momuri/ubr2.mp3"
"damn","MLG","misc/momuri/damn.mp3"
"exgirl","","misc/momuri/exgirl.mp3"
"hit","","misc/momuri/hit.mp3"
"horn","","misc/momuri/horn.mp3"
"horn2","","misc/momuri/horn2.mp3"
"illum","","misc/momuri/illumi.mp3"
"inter","","misc/momuri/inter.mp3"
"noscope","","misc/momuri/noscope.mp3"
"ohhh","","misc/momuri/ohhh.mp3"
"pussy","","misc/momuri/pussy.mp3"
"sadv","","misc/momuri/sadviolin.mp3"
"scrm","","misc/momuri/scrm.mp3"
"scrm2","","misc/momuri/scrm2.mp3"
"scrm3","","misc/momuri/scrm3.mp3"
"sike","","misc/momuri/sike.mp3"
"supris","","misc/momuri/surprise.mp3"
"uwot","","misc/momuri/uwotm8.mp3"
"watcha","","misc/momuri/watcha.mp3"
"weed","","misc/momuri/weed.mp3"
"wombo","","misc/momuri/wombo.mp3"
"wombo2","","misc/momuri/wombo2.mp3"
"wombo3","","misc/momuri/wombo3.mp3"
"wow","","misc/momuri/wow.mp3"
"ahhh2","v3","misc/momuri/ahhh2.mp3"
"ahhh3","","misc/momuri/ahhh3.mp3"
"good","","vo/heavy_goodjob02.mp3"
"hax","","misc/momuri/hax.mp3"
"hi2","","misc/momuri/hi2.mp3"
"hi3","","misc/momuri/hi3.mp3"
"hi4","","misc/momuri/hi4.mp3"
"hurt","","misc/momuri/hurt.mp3"
"inc2","","misc/momuri/inc2.mp3"
"inc3","","misc/momuri/inc3.mp3"
"kiddin","","vo/items/wheatley_sapper/wheatley_sapper_putback08.mp3"
"no2","","misc/momuri/no2.mp3"
"no3","","vo/heavy_no02.mp3"
"nooo","","misc/momuri/nooo.mp3"
"nooo2","","misc/momuri/nooo2.mp3"
"ok","","misc/momuri/ok.mp3"
"ok2","","misc/momuri/ok2.mp3"
"ok3","","misc/momuri/ok3.mp3"
"rld","","misc/momuri/rld.mp3"
"rld2","","misc/momuri/rld2.mp3"
"rld3","","misc/momuri/rld3.mp3"
"sry3","","misc/momuri/sry3.mp3"
"sry4","","misc/momuri/sry4.mp3"
"yes2","","misc/momuri/yes2.mp3"
"yes3","","misc/momuri/yes3.mp3"
"attack","imas thank you kyabetsu!","misc/momuri/imas/attack.mp3"
"atuku","","misc/momuri/imas/atuku.mp3"
"atuku2","","misc/momuri/imas/atuku2.mp3"
"atuku3","","misc/momuri/imas/atuku3.mp3"
"best","","misc/momuri/imas/best.mp3"
"bomb","","misc/momuri/imas/bomb.mp3"
"bomb2","","misc/momuri/imas/bomb2.mp3"
"bomb3","","misc/momuri/imas/bomb3.mp3"
"fire","","misc/momuri/imas/fire.mp3"
"ganbari","","misc/momuri/imas/ganbari.mp3"
"genba","","misc/momuri/imas/genba.mp3"
"genki2","","misc/momuri/imas/genki2.mp3"
"genki3","","misc/momuri/imas/genki3.mp3"
"gotohell","","misc/momuri/imas/gotohell.mp3"
